ws_gap,ws_dom,odds_min,odds_max,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
70,75,2.0,3.0,109,0.5045871559633027,17.275229357798164,165,0.43636363636363634,-0.890909090909092,8.192160133444537
70,65,2.0,3.0,110,0.509090909090909,18.254545454545454,167,0.4311377245508982,-2.077844311377246,8.088350571584105
70,70,2.0,3.0,110,0.509090909090909,18.254545454545454,167,0.4311377245508982,-2.077844311377246,8.088350571584105
70,80,2.0,3.0,108,0.5,15.76851851851852,160,0.4375,-0.7312500000000008,7.51863425925926
100,65,2.0,3.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,85,2.0,99.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,65,2.0,4.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,85,2.0,4.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,70,2.0,3.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,65,2.0,99.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,75,2.0,3.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,80,2.0,99.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,85,2.0,3.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,75,2.0,4.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,75,2.0,99.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,80,2.0,4.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,70,2.0,4.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,70,2.0,99.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
100,80,2.0,3.0,36,0.5277777777777778,17.861111111111114,56,0.42857142857142855,-3.303571428571424,7.278769841269845
80,85,2.0,3.0,88,0.5,14.15909090909091,128,0.4453125,0.36718749999999845,7.263139204545454
50,70,2.0,3.0,133,0.48120300751879697,12.556390977443607,226,0.4336283185840708,0.7699115044247801,6.6631512409341935
70,85,2.0,3.0,101,0.49504950495049505,13.524752475247526,148,0.4391891891891892,-0.9797297297297318,6.272511372758897
